file_name,exists,file_size_kb,modified_at,path
raw_files_inventory.csv,True,0.42,2026-05-22 10:16:13.780931,reports/data_quality/raw_files_inventory.csv
expected_raw_files_validation.csv,True,0.64,2026-05-22 10:16:13.797577,reports/data_quality/expected_raw_files_validation.csv
dataset_overview.csv,True,0.3,2026-05-22 10:16:22.253870,reports/data_quality/dataset_overview.csv
column_overview.csv,True,1.02,2026-05-22 10:16:22.264641,reports/data_quality/column_overview.csv
date_ranges_overview.csv,True,0.27,2026-05-22 10:16:22.264641,reports/data_quality/date_ranges_overview.csv
schema_validation.csv,True,0.87,2026-05-22 10:16:22.297103,reports/data_quality/schema_validation.csv
date_range_audit.csv,True,0.35,2026-05-22 10:16:22.647779,reports/data_quality/date_range_audit.csv
temporal_validation.csv,True,0.22,2026-05-22 10:16:23.696947,reports/data_quality/temporal_validation.csv
calendar_gaps_detail.csv,True,7.83,2026-05-22 10:16:24.198411,reports/data_quality/calendar_gaps_detail.csv
calendar_gaps_summary.csv,True,0.06,2026-05-22 10:16:24.198411,reports/data_quality/calendar_gaps_summary.csv
key_uniqueness_audit.csv,True,0.7,2026-05-22 10:16:25.017465,reports/data_quality/key_uniqueness_audit.csv
duplicate_key_details.csv,True,0.73,2026-05-22 10:16:25.018468,reports/data_quality/duplicate_key_details.csv
missing_values_audit.csv,True,0.45,2026-05-22 10:16:25.150926,reports/data_quality/missing_values_audit.csv
missing_values_summary.csv,True,0.18,2026-05-22 10:16:25.151929,reports/data_quality/missing_values_summary.csv
numeric_values_audit.csv,True,1.13,2026-05-22 10:16:25.464195,reports/data_quality/numeric_values_audit.csv
invalid_numeric_rules.csv,True,0.37,2026-05-22 10:16:25.493299,reports/data_quality/invalid_numeric_rules.csv
categorical_values_audit.csv,True,1.14,2026-05-22 12:53:06.918680,reports/data_quality/categorical_values_audit.csv
categorical_consistency_checks.csv,True,1.1,2026-05-22 10:16:25.649335,reports/data_quality/categorical_consistency_checks.csv
train_test_consistency_audit.csv,True,0.55,2026-05-22 10:16:26.130852,reports/data_quality/train_test_consistency_audit.csv
referential_integrity_checks.csv,True,2.28,2026-05-22 10:16:28.314757,reports/data_quality/referential_integrity_checks.csv
cleaning_decisions.csv,True,1.92,2026-05-22 10:16:28.335950,reports/data_quality/cleaning_decisions.csv
cleaning_decisions.json,True,2.93,2026-05-22 10:16:28.378127,reports/data_quality/cleaning_decisions.json
oil_clean_validation.csv,True,0.21,2026-05-22 10:16:29.781776,reports/data_quality/oil_clean_validation.csv
holidays_clean_validation.csv,True,0.21,2026-05-22 11:06:50.908147,reports/data_quality/holidays_clean_validation.csv
stores_clean_validation.csv,True,0.14,2026-05-22 11:37:33.878720,reports/data_quality/stores_clean_validation.csv
transactions_clean_validation.csv,True,0.16,2026-05-22 12:21:29.174335,reports/data_quality/transactions_clean_validation.csv
train_test_clean_validation.csv,True,0.37,2026-05-22 12:41:33.906727,reports/data_quality/train_test_clean_validation.csv
base_table_validation.csv,True,0.39,2026-05-22 12:46:08.743929,reports/data_quality/base_table_validation.csv
