date,rows,predicted_sales_sum,predicted_sales_mean,predicted_sales_median,predicted_sales_min,predicted_sales_max
2017-08-16,1782,797359.740395,447.452155,34.777292,0.0,13715.987045
2017-08-17,1782,642952.219159,360.803714,24.132959,0.0,7839.075017
2017-08-18,1782,752811.22768,422.45299,28.035366,0.0,9934.951784
2017-08-19,1782,922326.781329,517.579563,36.148801,0.0,12373.087612
2017-08-20,1782,983135.948569,551.703675,31.889119,0.0,12700.593402
2017-08-21,1782,748355.484765,419.952573,21.299045,0.0,9645.582577
2017-08-22,1782,708112.888607,397.369747,21.390094,0.0,8667.683215
2017-08-23,1782,732985.281058,411.327318,22.527818,0.0,11557.710753
2017-08-24,1782,616145.900021,345.760887,20.78846,0.0,7809.729152
2017-08-25,1782,726459.270829,407.665135,24.975859,0.0,9690.887125
2017-08-26,1782,891088.642629,500.049743,32.906294,0.0,12355.181655
2017-08-27,1782,953049.349561,534.820061,29.570261,0.0,12595.008621
2017-08-28,1782,725887.184357,407.344099,21.29865,0.0,9845.777153
2017-08-29,1782,690331.243323,387.39127,21.546331,0.0,8341.222054
2017-08-30,1782,759157.505411,426.014313,24.255378,0.0,12219.975062
2017-08-31,1782,687904.421723,386.029417,24.803096,0.0,8471.492326
