store_nbr,observed_store_days,days_with_transaction_record,total_sales,total_transactions,mean_daily_sales,mean_daily_transactions,median_daily_transactions,max_daily_transactions,mean_sales_per_transaction,median_sales_per_transaction,mean_promoted_families_pct,mean_zero_sales_families_pct,transaction_record_coverage_pct,city,state,store_type,cluster
44,1684,1677,62087553.250089,7273093.0,36869.09337891271,4336.966607036375,4170.0,8359.0,8.373386046635167,8.691377278256189,0.2556683221766357,0.17947887425322104,0.9958432304038005,Quito,Pichincha,A,5
47,1684,1677,50948310.061006,6535810.0,30254.34089133373,3897.3225998807393,3685.0,7727.0,7.659031108175459,7.939005523255814,0.26513352047793853,0.18953789678255237,0.9958432304038005,Quito,Pichincha,A,14
45,1684,1677,54498010.416674,6201115.0,32362.238964770786,3697.7429934406678,3515.0,7305.0,8.598245911460364,8.88961404556514,0.2602209745915209,0.19358669833729217,0.9958432304038005,Quito,Pichincha,A,11
46,1684,1677,41896062.1216342,5990113.0,24878.896746813658,3571.921884317233,3230.0,8001.0,6.8232250572305535,6.839022307424189,0.27200748578420786,0.1932088101921831,0.9958432304038005,Quito,Pichincha,A,14
3,1684,1676,50481910.185082,5366350.0,29977.381345060574,3201.879474940334,3100.5,6085.0,9.280688429585057,9.921570317593652,0.2468689267976679,0.18140430432591953,0.995249406175772,Quito,Pichincha,D,8
48,1684,1677,35933130.2739365,5107785.0,21337.963345567994,3045.7871198568873,2705.0,7044.0,6.809844460906299,6.750666912035333,0.2698481249550133,0.21321888720938603,0.9958432304038005,Quito,Pichincha,A,14
8,1684,1676,30494286.928015,4637971.0,18108.246394308197,2767.285799522673,2740.5,5261.0,6.548804333559152,6.620715518359593,0.2379975527243936,0.19930900453465775,0.995249406175772,Quito,Pichincha,D,8
49,1684,1677,43420095.783768,4574103.0,25783.904859719714,2727.550983899821,2671.0,6600.0,9.112128748540323,9.880079537953796,0.249478154466278,0.19347873029583243,0.9958432304038005,Quito,Pichincha,A,11
50,1684,1677,28653020.6246953,4384444.0,17014.857853144476,2614.4567680381633,2448.0,5456.0,6.488840945395067,6.698720292504571,0.2550744979486072,0.2065248686388829,0.9958432304038005,Ambato,Tungurahua,A,14
11,1684,1676,28325558.481396,3972488.0,16820.402898691213,2370.219570405728,2300.0,5018.0,7.083070979656827,7.181920639748608,0.20810839991362556,0.2410386525588426,0.995249406175772,Cayambe,Pichincha,B,6
34,1684,1678,17090734.15915,3864018.0,10148.892018497625,2302.752085816448,2275.5,3636.0,4.4401945168831825,4.606214365007222,0.20616497516735047,0.24778665515007556,0.996437054631829,Guayaquil,Guayas,B,6
24,1684,1577,23767732.701713,3568206.0,14113.85552358254,2262.6544071020926,2280.0,4353.0,6.741924620184813,6.991976050610032,0.2226660908371122,0.26148060174188437,0.9364608076009501,Guayaquil,Guayas,D,1
9,1684,1676,26409441.0647935,3516162.0,15682.565952965262,2097.9486873508354,2045.0,4624.0,7.438247424831452,7.362503866780474,0.2227200748578421,0.21946303894047361,0.995249406175772,Quito,Pichincha,B,6
2,1684,1677,21557388.6445642,3219901.0,12801.299670168764,1920.0363744782348,1889.0,4060.0,8.292076781673849,6.774990849008642,0.2320952997912618,0.21597207226660908,0.9958432304038005,Quito,Pichincha,D,13
6,1684,1676,25183679.997054,3065896.0,14954.679333167458,1829.293556085919,1729.0,4256.0,8.10054662431888,8.319119413509238,0.2508277549845246,0.22709278053696105,0.995249406175772,Quito,Pichincha,D,13
7,1684,1675,26952049.582971,2995993.0,16004.780037393704,1788.6525373134327,1790.0,3023.0,8.929264218801556,9.731681170662906,0.2135247966601886,0.208324335996545,0.9946555819477435,Quito,Pichincha,D,8
51,1684,1677,32911489.537604,2873614.0,19543.639867935868,1713.5444245676804,1685.0,3572.0,11.426926514777167,12.111194092827006,0.23047577916936587,0.2012164399337796,0.9958432304038005,Guayaquil,Guayas,A,17
38,1684,1678,18859999.2605296,2867052.0,11199.524501502137,1708.6126340882001,1585.0,3577.0,6.607980274793126,7.029391302167494,0.24026488159504789,0.21994889512704238,0.996437054631829,Loja,Loja,D,4
1,1684,1676,14145012.8696541,2553963.0,8399.651347775594,1523.8442720763724,1746.0,3023.0,6.6864796135736455,5.8021087821057495,0.2142985676239833,0.2303138271071763,0.995249406175772,Quito,Pichincha,D,13
4,1684,1676,18909700.380001,2519007.0,11229.038230404394,1502.9874701670644,1455.0,3589.0,7.4448930116890795,7.65773053792509,0.22768660476498956,0.2272727272727273,0.995249406175772,Quito,Pichincha,D,9
27,1684,1677,19188021.3815342,2485687.0,11394.311984283966,1482.222420989863,1449.0,2455.0,7.489546161507161,7.661344911147011,0.22651695098250918,0.2218923198733175,0.9958432304038005,Daule,Guayas,D,1
37,1684,1678,19970635.6144784,2481719.0,11859.047277006177,1478.9743742550656,1481.0,3056.0,8.065627766408952,8.467723903508773,0.22842438638163104,0.215738141510113,0.996437054631829,Cuenca,Azuay,D,2
39,1684,1678,20252192.53354,2389482.0,12026.242597114015,1424.0059594755662,1362.0,2987.0,8.4383959579308,8.640810215946845,0.22403368602893542,0.21820341179011013,0.996437054631829,Cuenca,Azuay,B,6
5,1684,1677,15592404.5723532,2347877.0,9259.147608285748,1400.0459153249851,1379.0,3468.0,6.705905597353231,6.927936631944444,0.23779961131505073,0.22338587778017707,0.9958432304038005,Santo Domingo,Santo Domingo de los Tsachilas,D,4
31,1684,1678,17746872.701507,2306044.0,10538.522981892516,1374.2812872467223,1329.0,3594.0,7.53093887534027,7.6571310288072585,0.196159936658749,0.26146260706830776,0.996437054631829,Babahoyo,Los Rios,B,10
17,1684,1674,18030969.250161,2295485.0,10707.226395582542,1371.2574671445639,1345.0,3176.0,7.635007393111719,7.7333544629349475,0.1785071618800835,0.3047937810408119,0.994061757719715,Quito,Pichincha,C,12
14,1684,1638,11387918.748218,2287850.0,6762.422059511877,1396.7338217338217,1365.0,2510.0,5.020024826527978,5.015060429174924,0.16454329518462535,0.3467393651479162,0.9726840855106889,Riobamba,Chimborazo,C,7
15,1684,1676,11451270.022648,2209898.0,6800.041581144893,1318.554892601432,1330.0,2314.0,5.184330284683705,5.29737074061763,0.16857410206578852,0.29748794356870367,0.995249406175772,Ibarra,Imbabura,C,15
43,1684,1672,16391692.2119096,2182356.0,9733.783973818052,1305.2368421052631,1288.0,2850.0,7.38974736602371,7.508949470536201,0.1646872525732383,0.3435543079248542,0.9928741092636579,Esmeraldas,Esmeraldas,E,10
40,1684,1677,18395757.405968,2181195.0,10923.846440598574,1300.6529516994633,1299.0,2263.0,8.26044680471427,8.444677663230241,0.1904016411142302,0.31177571438854096,0.9958432304038005,Machala,El Oro,C,3
19,1684,1676,13049509.836733,2107489.0,7749.115104948338,1257.4516706443915,1174.0,2370.0,6.154669130276399,6.280618457149667,0.15543799035485495,0.29545454545454547,0.995249406175772,Guaranda,Bolivar,C,15
18,1684,1566,13259375.6899043,2071278.0,7873.738533197328,1322.655172413793,1314.0,2623.0,6.405825733923812,6.120989810209742,0.15975671201324407,0.3183617649175844,0.9299287410926366,Quito,Pichincha,B,16
12,1684,1616,10659217.957236,1958852.0,6329.70187484323,1212.1608910891089,1196.0,2363.0,5.411660148926308,5.532002900604185,0.1609623551428777,0.33831785791405744,0.9596199524940617,Latacunga,Cotopaxi,C,15
28,1684,1677,18383154.8339259,1957594.0,10916.3627279845,1167.3190220632082,1116.0,2498.0,9.037876119002146,9.1321004178499,0.21501835456704813,0.2711077521053768,0.9958432304038005,Guayaquil,Guayas,E,10
23,1684,1677,11651380.6749087,1788171.0,6918.872134743883,1066.2915921288015,1050.0,2236.0,6.583913189588074,6.83109203319502,0.2076225437270568,0.2822284603757288,0.9958432304038005,Ambato,Tungurahua,D,9
41,1684,1677,14991039.1385844,1764146.0,8902.042243814964,1051.9654144305307,1005.0,2413.0,8.225966442977095,8.656342158790169,0.22682286043331173,0.22624703087885986,0.9958432304038005,Machala,El Oro,D,4
33,1684,1678,14178501.293449,1743003.0,8419.53758518349,1038.738379022646,1016.0,2489.0,8.195470851365267,8.409269148985665,0.19518822428561144,0.3317498020585906,0.996437054631829,Quevedo,Los Rios,C,3
36,1684,1551,15322431.096578,1738129.0,9098.830817445369,1120.6505480335268,1098.0,2586.0,8.62607201963505,8.907015258215962,0.20506730007917656,0.3469553012308357,0.921021377672209,Libertad,Guayas,E,10
10,1684,1675,9613905.735863,1652493.0,5708.970151937649,986.5629850746269,962.0,2242.0,5.85079448298835,5.82551142546246,0.17258691427337508,0.33158784999640106,0.9946555819477435,Quito,Pichincha,C,15
13,1684,1676,10523045.81794,1572504.0,6248.839559346794,938.2482100238664,894.0,1795.0,6.649561322664828,6.7626705993765,0.1647412365939682,0.33156985532282446,0.995249406175772,Latacunga,Cotopaxi,C,15
25,1684,1615,11420997.8725745,1520362.0,6782.065244996735,941.4006191950465,819.0,3401.0,7.241154075885067,7.376523220838052,0.19266896998488448,0.29739797020082054,0.9590261282660333,Salinas,Santa Elena,D,1
16,1684,1677,10986412.5547492,1464498.0,6523.997954126603,873.2844364937388,849.0,1861.0,7.552414267367544,7.545576878228782,0.17659972648096162,0.3452997912617865,0.9958432304038005,Santo Domingo,Santo Domingo de los Tsachilas,C,3
54,1684,1676,11057483.1179049,1451290.0,6566.201376428087,865.9248210023866,822.0,1811.0,7.535053929719094,7.3408790772987995,0.19873317498020587,0.34747714676455765,0.995249406175772,El Carmen,Manabi,C,3
20,1684,909,12920954.5928321,1422539.0,7672.775886479869,1564.949394939494,1426.0,4500.0,8.906953793047807,8.483894810659187,0.18575901533146189,0.5447167638379039,0.5397862232779097,Quito,Pichincha,B,6
53,1684,1167,11216167.2826831,1180082.0,6660.43187807785,1011.2099400171379,953.0,2737.0,9.137966863327796,9.245192307692308,0.23450658605052901,0.43237601669905706,0.6929928741092637,Manta,Manabi,D,13
30,1684,1655,7382073.663963,1171130.0,4383.654194752376,707.6314199395771,701.0,1443.0,6.281866380014905,6.367071229050279,0.16161016339163606,0.3393615489815015,0.9827790973871734,Guayaquil,Guayas,C,3
35,1684,1676,7676679.4216696,1123889.0,4558.598231395249,670.5781622911694,656.0,1676.0,6.698726790270119,6.710100309377387,0.19176923630605341,0.39116821420859427,0.995249406175772,Playas,Guayas,C,3
