cluster,stores,observed_store_days,total_sales,mean_daily_store_sales,median_daily_store_sales,std_daily_store_sales,mean_promoted_families_pct,mean_zero_sales_families_pct
14,4,6736,157430523.081272,23371.514709214964,20372.005490000003,11386.22975809963,0.26551590729144176,0.2006226157057511
6,6,10104,114254386.7419216,11307.837167648615,11330.155005,7248.32959265085,0.20163631565056742,0.34736917872309797
8,3,5052,107928246.696068,21363.469258920824,19483.795005,10328.762168474408,0.23279709206075,0.19634588161904076
11,3,5052,100614275.933691,19915.731578323634,19487.0535,17220.933207610015,0.18161424218431343,0.440821516831018
10,6,10104,85324430.4318693,8444.619005529425,8327.406989,5073.207170428494,0.19349372585714628,0.35074917824324
3,7,11788,75628703.4552552,6415.736635159076,5497.695,3584.2325831283542,0.18242485938447933,0.3518035804259082
13,4,6736,72102248.7939554,10704.015557297416,10480.190000499999,6208.8098047633275,0.23293205211257467,0.2764386741524509
5,1,1684,62087553.250089,36869.09337891271,35423.185,14704.525436802081,0.2556683221766357,0.17947887425322104
15,5,8420,55296949.37042,6567.333654444181,6353.0045,2260.1886468011394,0.1644605196861729,0.3188836104513064
1,3,5052,54376751.9558217,10763.41091762108,10081.122999,5954.328513892815,0.21395067060150197,0.26025696393867415
4,3,5052,49443442.9714672,9786.904784534283,9394.829502,3741.915886274926,0.23496245111447012,0.22319393459535977
17,1,1684,32911489.537604,19543.639867935868,19185.193998000002,6439.520989138679,0.23047577916936587,0.2012164399337796
9,2,3368,30561081.0549097,9073.955182574138,8056.3665,3884.779044015833,0.21765457424602316,0.25475059382422804
2,2,3368,28916403.4996411,8585.630492767548,9962.965995,6146.174371615441,0.19475635211977252,0.4189519902108976
12,1,1684,18030969.250161,10707.226395582542,10119.142995,4446.619251660806,0.1785071618800835,0.3047937810408119
7,2,3368,15478120.489018,4595.641475361639,5335.3585,3511.5699690563556,0.14880695314187,0.5161142301878644
16,1,1684,13259375.6899043,7873.738533197328,7624.8800025,3948.410808144781,0.15975671201324407,0.3183617649175844
