date,store_nbr,total_sales,mean_family_sales,median_family_sales,max_family_sales,total_promotion_units,promoted_families,zero_sales_families,total_families,promoted_families_pct,zero_sales_families_pct,city,state,store_type,cluster,store_sales_p01,store_sales_p99,store_day_anomaly_flag
2013-01-01,1,0.0,0.0,0.0,0.0,0,0,33,33,0.0,1.0,Quito,Pichincha,D,13,1850.5436583,15314.64006000002,store_bottom_1_pct
2013-02-10,1,1199.135,36.33742424242424,1.0,385.0,0,0,14,33,0.0,0.42424242424242425,Quito,Pichincha,D,13,1850.5436583,15314.64006000002,store_bottom_1_pct
2013-02-11,1,1344.749998,40.74999993939394,2.0,458.0,0,0,16,33,0.0,0.48484848484848486,Quito,Pichincha,D,13,1850.5436583,15314.64006000002,store_bottom_1_pct
2013-02-17,1,1747.08101,52.94184878787879,1.0,630.0,0,0,15,33,0.0,0.45454545454545453,Quito,Pichincha,D,13,1850.5436583,15314.64006000002,store_bottom_1_pct
2013-05-26,1,1621.783,49.14493939393939,2.0,590.0,0,0,16,33,0.0,0.48484848484848486,Quito,Pichincha,D,13,1850.5436583,15314.64006000002,store_bottom_1_pct
2013-06-02,1,1729.6100000000001,52.412424242424244,1.0,639.0,0,0,15,33,0.0,0.45454545454545453,Quito,Pichincha,D,13,1850.5436583,15314.64006000002,store_bottom_1_pct
2013-07-14,1,1841.979,55.81754545454545,6.0,699.0,0,0,15,33,0.0,0.45454545454545453,Quito,Pichincha,D,13,1850.5436583,15314.64006000002,store_bottom_1_pct
2013-07-28,1,1795.154,54.39860606060606,1.0,690.0,0,0,15,33,0.0,0.45454545454545453,Quito,Pichincha,D,13,1850.5436583,15314.64006000002,store_bottom_1_pct
2013-08-04,1,1837.975005,55.69621227272727,2.0,704.0,0,0,15,33,0.0,0.45454545454545453,Quito,Pichincha,D,13,1850.5436583,15314.64006000002,store_bottom_1_pct
2013-08-18,1,1843.3600000000001,55.85939393939395,1.0,689.0,0,0,14,33,0.0,0.42424242424242425,Quito,Pichincha,D,13,1850.5436583,15314.64006000002,store_bottom_1_pct
2013-12-29,1,1819.251996,55.128848363636365,0.0,529.0,0,0,17,33,0.0,0.5151515151515151,Quito,Pichincha,D,13,1850.5436583,15314.64006000002,store_bottom_1_pct
2014-01-01,1,0.0,0.0,0.0,0.0,0,0,33,33,0.0,1.0,Quito,Pichincha,D,13,1850.5436583,15314.64006000002,store_bottom_1_pct
2014-06-15,1,1755.367,53.19293939393939,2.0,556.0,0,0,14,33,0.0,0.42424242424242425,Quito,Pichincha,D,13,1850.5436583,15314.64006000002,store_bottom_1_pct
2014-12-10,1,15642.7368,474.0223272727273,76.074,4481.0,204,10,5,33,0.30303030303030304,0.15151515151515152,Quito,Pichincha,D,13,1850.5436583,15314.64006000002,store_top_1_pct
2015-01-01,1,0.0,0.0,0.0,0.0,0,0,33,33,0.0,1.0,Quito,Pichincha,D,13,1850.5436583,15314.64006000002,store_bottom_1_pct
2015-07-07,1,0.0,0.0,0.0,0.0,0,0,33,33,0.0,1.0,Quito,Pichincha,D,13,1850.5436583,15314.64006000002,store_bottom_1_pct
2015-12-15,1,16521.089016,500.63906109090914,21.0,5608.718,57,6,5,33,0.18181818181818182,0.15151515151515152,Quito,Pichincha,D,13,1850.5436583,15314.64006000002,store_top_1_pct
2015-12-16,1,15815.478000000001,479.2569090909091,38.0,4080.164,284,10,3,33,0.30303030303030304,0.09090909090909091,Quito,Pichincha,D,13,1850.5436583,15314.64006000002,store_top_1_pct
2015-12-23,1,16290.52,493.65212121212124,64.0,4146.0,249,11,4,33,0.3333333333333333,0.12121212121212122,Quito,Pichincha,D,13,1850.5436583,15314.64006000002,store_top_1_pct
2016-01-01,1,0.0,0.0,0.0,0.0,0,0,33,33,0.0,1.0,Quito,Pichincha,D,13,1850.5436583,15314.64006000002,store_bottom_1_pct
2016-01-06,1,15928.654,482.68648484848484,34.057,4743.896,246,8,4,33,0.24242424242424243,0.12121212121212122,Quito,Pichincha,D,13,1850.5436583,15314.64006000002,store_top_1_pct
2016-04-18,1,21788.9,660.2696969696971,32.0,9065.0,32,8,4,33,0.24242424242424243,0.12121212121212122,Quito,Pichincha,D,13,1850.5436583,15314.64006000002,store_top_1_pct
2016-04-19,1,20811.844,630.6619393939394,61.0,8221.0,42,12,4,33,0.36363636363636365,0.12121212121212122,Quito,Pichincha,D,13,1850.5436583,15314.64006000002,store_top_1_pct
2016-04-20,1,18575.06,562.880606060606,30.0,5438.0,311,13,4,33,0.3939393939393939,0.12121212121212122,Quito,Pichincha,D,13,1850.5436583,15314.64006000002,store_top_1_pct
2016-11-09,1,18148.644,549.9589090909091,27.0,4753.515,491,16,2,33,0.48484848484848486,0.06060606060606061,Quito,Pichincha,D,13,1850.5436583,15314.64006000002,store_top_1_pct
2016-12-02,1,15683.887,475.26930303030304,35.0,4522.0,434,19,3,33,0.5757575757575758,0.09090909090909091,Quito,Pichincha,D,13,1850.5436583,15314.64006000002,store_top_1_pct
2016-12-07,1,15846.475,480.1962121212121,44.0,4411.107,598,18,4,33,0.5454545454545454,0.12121212121212122,Quito,Pichincha,D,13,1850.5436583,15314.64006000002,store_top_1_pct
2016-12-21,1,17926.17498,543.2174236363636,49.0,5162.0,507,17,4,33,0.5151515151515151,0.12121212121212122,Quito,Pichincha,D,13,1850.5436583,15314.64006000002,store_top_1_pct
2016-12-22,1,15938.702,482.99096969696967,46.0,5055.0,284,17,3,33,0.5151515151515151,0.09090909090909091,Quito,Pichincha,D,13,1850.5436583,15314.64006000002,store_top_1_pct
2016-12-23,1,18554.34204,562.2527890909091,74.0,5386.0,477,20,3,33,0.6060606060606061,0.09090909090909091,Quito,Pichincha,D,13,1850.5436583,15314.64006000002,store_top_1_pct
2017-01-01,1,0.0,0.0,0.0,0.0,0,0,33,33,0.0,1.0,Quito,Pichincha,D,13,1850.5436583,15314.64006000002,store_bottom_1_pct
2017-01-04,1,16356.818000000001,495.6611515151516,36.0,4830.27,479,19,2,33,0.5757575757575758,0.06060606060606061,Quito,Pichincha,D,13,1850.5436583,15314.64006000002,store_top_1_pct
2017-03-01,1,16819.463,509.68069696969695,30.0,4897.014,410,17,5,33,0.5151515151515151,0.15151515151515152,Quito,Pichincha,D,13,1850.5436583,15314.64006000002,store_top_1_pct
2017-04-05,1,15539.17,470.8839393939394,39.153,4556.578,320,14,2,33,0.42424242424242425,0.06060606060606061,Quito,Pichincha,D,13,1850.5436583,15314.64006000002,store_top_1_pct
2013-01-01,2,0.0,0.0,0.0,0.0,0,0,33,33,0.0,1.0,Quito,Pichincha,D,13,5523.67295736,24563.374460000014,store_bottom_1_pct
