store_nbr,total_sales,mean_daily_sales,std_daily_sales,daily_sales_cv,mean_promoted_families_pct,mean_zero_sales_families_pct,city,state,store_type,cluster
52,2696169.733249,1601.0509104804037,5984.923474977776,3.7381219021835905,0.03514359749514144,0.9353991218599295,Manta,Manabi,A,11
22,4090201.7408,2428.8608912114014,3168.5743938746164,1.304551613202632,0.13307061109911467,0.6854890952278125,Puyo,Pastaza,C,7
21,9255505.91021,5496.143652143705,6768.344067306599,1.2314714635718604,0.16303174260418918,0.6130065500611819,Santo Domingo,Santo Domingo de los Tsachilas,B,6
42,8945767.8851627,5312.21370852892,6464.3891626170625,1.2168917738076483,0.16108831785791405,0.6221658389116822,Cuenca,Azuay,D,2
20,12920954.5928321,7672.775886479869,8763.811483061594,1.1421956815530387,0.18575901533146189,0.5447167638379039,Quito,Pichincha,B,6
29,9725157.696084,5775.034261332542,6106.545472562834,1.0574041981793887,0.17636579572446556,0.5721766357158281,Guayaquil,Guayas,E,10
53,11216167.2826831,6660.43187807785,5838.502362312684,0.8765951621740228,0.23450658605052901,0.43237601669905706,Manta,Manabi,D,13
25,11420997.8725745,6782.065244996735,4758.897551527507,0.7016885535034098,0.19266896998488448,0.29739797020082054,Salinas,Santa Elena,D,1
26,7755121.8918648,4605.179270703563,2417.975853426224,0.5250557494707072,0.20366371554020007,0.3092384654142374,Guayaquil,Guayas,D,10
35,7676679.4216696,4558.598231395249,2353.9101900017668,0.5163671090359078,0.19176923630605341,0.39116821420859427,Playas,Guayas,C,3
18,13259375.6899043,7873.738533197328,3948.410808144781,0.5014658273826919,0.15975671201324407,0.3183617649175844,Quito,Pichincha,B,16
48,35933130.2739365,21337.963345567994,10317.644670141906,0.48353465150576025,0.2698481249550133,0.21321888720938603,Quito,Pichincha,A,14
36,15322431.096578,9098.830817445369,4350.956926301449,0.4781885731911042,0.20506730007917656,0.3469553012308357,Libertad,Guayas,E,10
28,18383154.8339259,10916.3627279845,5109.681521323636,0.468075461456111,0.21501835456704813,0.2711077521053768,Guayaquil,Guayas,E,10
49,43420095.783768,25783.904859719714,11904.519734656202,0.461703523939609,0.249478154466278,0.19347873029583243,Quito,Pichincha,A,11
