store_nbr,observed_days,total_sales,mean_daily_sales,median_daily_sales,std_daily_sales,min_daily_sales,max_daily_sales,total_promotion_units,mean_promoted_families_pct,mean_zero_sales_families_pct,daily_sales_cv,sales_share_pct,city,state,store_type,cluster
44,1684,62087553.250089,36869.09337891271,35423.185,14704.525436802081,0.0,90557.92509,192449,0.2556683221766357,0.17947887425322104,0.3988306760266674,0.05782875719080902,Quito,Pichincha,A,5
45,1684,54498010.416674,32362.238964770786,30826.398009999997,13689.660271082603,0.0,114144.37800000001,191503,0.2602209745915209,0.19358669833729217,0.4230133856308592,0.050759806866177384,Quito,Pichincha,A,11
47,1684,50948310.061006,30254.34089133373,28914.9095,12523.214938500894,0.0,75297.9555,192725,0.26513352047793853,0.18953789678255237,0.4139311771319445,0.04745359250882938,Quito,Pichincha,A,14
3,1684,50481910.185082,29977.381345060574,29515.4945,11324.234286519542,0.0,69516.38603,177075,0.2468689267976679,0.18140430432591953,0.37775928978484496,0.04701918458378212,Quito,Pichincha,D,8
49,1684,43420095.783768,25783.904859719714,26135.745499999997,11904.519734656202,0.0,65048.295,184736,0.249478154466278,0.19347873029583243,0.461703523939609,0.04044176400650143,Quito,Pichincha,A,11
46,1684,41896062.1216342,24878.896746813658,22200.02598,11084.244854582437,0.0,72375.146,190697,0.27200748578420786,0.1932088101921831,0.44552798974102586,0.03902226898721544,Quito,Pichincha,A,14
48,1684,35933130.2739365,21337.963345567994,18446.0995,10317.644670141906,0.0,62877.964,185566,0.2698481249550133,0.21321888720938603,0.48353465150576025,0.03346835487858759,Quito,Pichincha,A,14
51,1684,32911489.537604,19543.639867935868,19185.193998000002,6439.520989138679,0.0,41745.408956,162576,0.23047577916936587,0.2012164399337796,0.32949445613268963,0.030653978738568267,Guayaquil,Guayas,A,17
8,1684,30494286.928015,18108.246394308197,17711.088485,6757.231184773927,0.0,41095.617,169671,0.2379975527243936,0.19930900453465775,0.3731576784209137,0.028402580262164114,Quito,Pichincha,D,8
50,1684,28653020.6246953,17014.857853144476,16010.620998,6198.94702653202,0.0,43368.656,174115,0.2550744979486072,0.2065248686388829,0.36432552537524765,0.026687612665528455,Ambato,Tungurahua,A,14
11,1684,28325558.481396,16820.402898691213,16191.817979,5044.99640228786,0.0,39085.735,173787,0.20810839991362556,0.2410386525588426,0.299933148609681,0.02638261226234362,Cayambe,Pichincha,B,6
7,1684,26952049.582971,16004.780037393704,17232.173000000003,5718.334764445347,0.0,36744.413,153875,0.2135247966601886,0.208324335996545,0.3572891817997486,0.02510331700220513,Quito,Pichincha,D,8
