date,total_sales,total_promotion_units,rows_with_promotion_pct,zero_sales_pct
2016-12-07,867653.7351403,26861,0.49663299663299665,0.17789001122334455
2016-12-28,951533.7138481,23634,0.5044893378226711,0.15544332210998876
2016-12-21,1181307.3270735,23427,0.4994388327721661,0.14758698092031425
2017-07-05,844301.613116,23049,0.5258136924803591,0.15039281705948374
2017-01-04,990093.463742,22918,0.489337822671156,0.1531986531986532
2016-12-30,1163643.0379923,21974,0.5314253647586981,0.1526374859708193
2016-11-02,969033.618953,21832,0.4887766554433221,0.16778900112233447
2016-12-14,829763.2190675,21728,0.46408529741863075,0.18069584736251404
2016-12-23,1282145.5171351,21531,0.5331088664421998,0.1520763187429854
2016-11-09,790276.839009,21413,0.47418630751964086,0.1919191919191919
2017-05-03,924247.257204,21181,0.4910213243546577,0.1324354657687991
2017-04-26,781159.2829995,21140,0.494949494949495,0.13524130190796857
2017-06-21,766159.0112892,21009,0.4708193041526375,0.14085297418630752
2017-05-24,746303.6271255,20850,0.49663299663299665,0.14646464646464646
2016-11-23,753685.041456,20488,0.4590347923681257,0.1936026936026936
2017-05-10,766101.907094,20292,0.5185185185185185,0.14085297418630752
2017-07-12,748799.9959087,20226,0.4287317620650954,0.14814814814814814
2017-06-28,731896.9850105,20138,0.4371492704826038,0.1537598204264871
2016-12-16,918899.786306,20131,0.5179573512906847,0.16666666666666666
2016-10-26,633413.8905697,20046,0.44725028058361394,0.2132435465768799
