year,month,year_month,observed_days,total_sales,mean_daily_sales,median_daily_sales,total_promotion_units,mean_zero_sales_pct,calendar_days_in_month,is_complete_month
2013,1,2013-01,31,10327624.7369095,333149.18506159674,302530.80901799997,0,0.5387205387205387,31,True
2013,2,2013-02,28,9658959.7774368,344962.84919417143,319883.406937,0,0.5228475228475229,28,True
2013,3,2013-03,31,11428497.0374875,368661.19475766126,332189.993189,0,0.5084718149234279,31,True
2013,4,2013-04,30,10993464.7380118,366448.8246003933,334211.19949549995,0,0.5023943135054246,30,True
2013,5,2013-05,31,11597704.007026799,374119.4840976387,335937.441949,0,0.4952572318163716,31,True
2013,6,2013-06,30,11689344.0622436,389644.8020747866,353713.6899775,0,0.4937523381967826,30,True
2013,7,2013-07,31,11257400.6076808,363141.9550864774,342802.29905,0,0.5063176568552913,31,True
2013,8,2013-08,31,11737788.9194727,378638.3522410548,354932.930947,0,0.49907678939937006,31,True
2013,9,2013-09,30,11792933.2318679,393097.77439559664,361555.74200950004,0,0.5002057613168724,30,True
2013,10,2013-10,31,11775620.3605191,379858.7213070677,348721.327971,0,0.5001810216863981,31,True
2013,11,2013-11,30,12356559.2929861,411885.30976620334,373682.8190505,0,0.49562289562289563,30,True
2013,12,2013-12,30,15803117.1479746,526770.5715991533,507362.85061725,0,0.49223718668163113,31,False
2014,1,2014-01,31,18911640.7014034,610052.9258517226,560816.192394,0,0.3126063502407589,31,True
2014,2,2014-02,28,12038352.6339783,429941.16549922497,397880.52145925,0,0.4935064935064935,28,True
2014,3,2014-03,31,20365584.016477,656954.3231121612,612719.522118,0,0.28420404764490786,31,True
2014,4,2014-04,30,12861251.057149401,428708.3685716467,395928.5135095,1939,0.5035914702581369,30,True
2014,5,2014-05,31,13379785.2611975,431605.9761676613,388814.744958,11575,0.5112414467253177,31,True
2014,6,2014-06,30,13319958.1730016,443998.60576672,415364.29100875,21496,0.5022820800598579,30,True
2014,7,2014-07,31,19421891.0438224,626512.6143168516,583936.68549,69665,0.2838782086093914,31,True
2014,8,2014-08,31,13885176.419054199,447908.91674368386,409544.575013,42940,0.4932478910973535,31,True
2014,9,2014-09,30,20022416.1138096,667413.87046032,610613.72262485,71659,0.2671343060231949,30,True
2014,10,2014-10,31,20396101.3141771,657938.752070229,620201.323059,76899,0.27591325440787806,31,True
