date,total_sales,total_transactions,stores_with_transaction_record,total_store_rows,total_promotion_units,mean_promoted_families_pct,mean_zero_sales_families_pct,stores_with_transaction_record_pct,sales_per_transaction
2013-01-01,2511.618999,770.0,1,54,0,0.0,0.9904601571268238,0.018518518518518517,3.2618428558441557
2013-01-02,496092.417944,93215.0,46,54,0,0.0,0.5151515151515151,0.8518518518518519,5.322023472016307
2013-01-03,361461.231124,78504.0,46,54,0,0.0,0.5224466891133558,0.8518518518518519,4.604367052939978
2013-01-04,354459.6770927,78494.0,46,54,0,0.0,0.5179573512906847,0.8518518518518519,4.515755052522485
2013-01-05,477350.121229,93573.0,46,54,0,0.0,0.5078563411896745,0.8518518518518519,5.101366005460977
2013-01-06,519695.401088,90464.0,46,54,0,0.0,0.5342312008978676,0.8518518518518519,5.744775834453484
2013-01-07,336122.801066,75597.0,46,54,0,0.0,0.5235690235690236,0.8518518518518519,4.446245235472308
2013-01-08,318347.777981,72325.0,46,54,0,0.0,0.5207631874298541,0.8518518518518519,4.401628454628414
2013-01-09,302530.80901799997,71971.0,46,54,0,0.0,0.5196408529741863,0.8518518518518519,4.203509872281891
2013-01-10,258982.003049,66383.0,46,54,0,0.0,0.5185185185185185,0.8518518518518519,3.901330205760511
2013-01-11,289737.6850845,70338.0,46,54,0,0.0,0.5230078563411896,0.8518518518518519,4.119219839695471
2013-01-12,403258.2120105,85511.0,46,54,0,0.0,0.5101010101010102,0.8518518518518519,4.7158635966191484
2013-01-13,464638.547998,86306.0,46,54,0,0.0,0.5336700336700337,0.8518518518518519,5.383618149352304
2013-01-14,293348.362078,70078.0,46,54,0,0.0,0.5280583613916947,0.8518518518518519,4.186026457347527
2013-01-15,299129.549954,71134.0,46,54,0,0.0,0.5202020202020202,0.8518518518518519,4.205155761717322
2013-01-16,318347.913946,72471.0,46,54,0,0.0,0.5297418630751964,0.8518518518518519,4.392762814725891
2013-01-17,267498.5159755,68873.0,46,54,0,0.0,0.5202020202020202,0.8518518518518519,3.8839387855255323
2013-01-18,296130.850028,71371.0,46,54,0,0.0,0.5202020202020202,0.8518518518518519,4.149176136357904
2013-01-19,432459.852021,88558.0,46,54,0,0.0,0.5112233445566778,0.8518518518518519,4.88335161161047
2013-01-20,461092.386047,85281.0,46,54,0,0.0,0.5364758698092031,0.8518518518518519,5.406742252635405
2013-01-21,311211.26595,73250.0,46,54,0,0.0,0.5291806958473625,0.8518518518518519,4.248617965187713
2013-01-22,296214.728983,68988.0,46,54,0,0.0,0.5269360269360269,0.8518518518518519,4.293713819548327
