date,total_sales,mean_daily_sales,median_daily_sales,total_promotion_units,mean_rows_with_promotion_pct,mean_zero_sales_pct
2013-01-06,2211570.4674767,368595.0779127833,419405.6761765,0,0.0,0.5980172091283202
2013-01-13,2373617.836207,339088.26231528574,318347.777981,0,0.0,0.5213243546576879
2013-01-20,2368007.4300495,338286.77572135715,299129.549954,0,0.0,0.5237293570626904
2013-01-27,2272164.6700988,324594.95287125715,296214.728983,0,0.0,0.5278178611511944
2013-02-03,2476890.6712285,353841.5244612143,285460.169953,0,0.0,0.5230078563411896
2013-02-10,2342469.6602487,334638.52289267146,321538.177149,0,0.0,0.5198813532146865
2013-02-17,2420608.6146911,345801.2306701572,319597.929962,0,0.0,0.5274170274170275
2013-02-24,2377200.9905385,339600.14150549995,313803.162034,0,0.0,0.5231681898348565
2013-03-03,2630630.1241565,375804.3034509286,307110.875933,0,0.0,0.5187590187590188
2013-03-10,2576383.71325,368054.81617857143,335726.580968,0,0.0,0.5141093474426808
2013-03-17,2437164.704186,348166.38631228573,315878.090213,0,0.0,0.5125060125060125
2013-03-24,2421728.277832,345961.1825474286,321207.006946,0,0.0,0.5031265031265031
2013-03-31,2506644.3918705,358092.0559815,339293.269022,0,0.0,0.5015231681898349
2013-04-07,2853886.1106533,407698.01580761425,377732.827961,0,0.0,0.5006413339746673
2013-04-14,2515310.0187517,359330.0026788143,314394.967035,0,0.0,0.5014430014430015
2013-04-21,2546253.942067,363750.5631524286,334990.518942,0,0.0,0.5027256693923361
2013-04-28,2439032.3256278,348433.1893754,310555.184925,0,0.0,0.506413339746673
2013-05-05,2970565.7558423,424366.5365489,374291.2510323,0,0.0,0.4973544973544974
2013-05-12,2561396.343228,365913.76331828575,335937.441949,0,0.0,0.4972743306076639
2013-05-19,2624865.236956,374980.74813657143,330004.241998,0,0.0,0.49366682700016035
2013-05-26,2506962.9401195003,358137.5628742143,341787.214991,0,0.0,0.49182299182299183
2013-06-02,2777496.381739,396785.1973912857,321630.8309235,0,0.0,0.49631232964566296
2013-06-09,2826095.622215,403727.94603071426,369705.160085,0,0.0,0.48973865640532305
2013-06-16,2505474.4978727,357924.9282675286,326956.7421072,0,0.0,0.4934263267596601
2013-06-23,2575977.6572020003,367996.8081717143,320885.3399215,0,0.0,0.49559082892416223
2013-06-30,2577195.9750079,368170.85357255716,324210.971803,0,0.0,0.49607182940516276
2013-07-07,2865810.9362295,409401.5623185,390958.38408,0,0.0,0.4941478274811608
2013-07-14,2458695.9153208,351242.2736172572,317279.1449993,0,0.0,0.5092191758858425
2013-07-21,2482490.8780433,354641.55400618573,335516.229006,0,0.0,0.5101010101010102
2013-07-28,2442372.6240907,348910.3748701,318745.692921,0,0.0,0.5113836780503448
2013-08-04,2830640.8140586,404377.2591512286,393831.120007,0,0.0,0.5020843354176687
2013-08-11,2632979.7559257997,376139.9651322571,357263.854086,0,0.0,0.5002405002405003
2013-08-18,2579439.5207651,368491.3601093,349539.224033,0,0.0,0.4982363315696649
2013-08-25,2543506.163698,363358.02338542853,343046.11398,0,0.0,0.49895783229116564
2013-09-01,2799659.1408967003,399951.30584238574,347159.6410143,0,0.0,0.5014430014430015
2013-09-08,2994540.145991,427791.4494272857,397680.420032,0,0.0,0.4974346641013308
2013-09-15,2619980.4286782,374282.9183826,323124.61885,0,0.0,0.501362834696168
2013-09-22,2597994.8685458,371142.12407797144,331846.9039701,0,0.0,0.5022446689113356
2013-09-29,2572943.1167636,367563.3023948,320246.574024,0,0.0,0.49815616482283154
2013-10-06,3038196.4132898003,434028.05904140003,414455.6550375,0,0.0,0.4951899951899952
2013-10-13,2638765.1460602,376966.4494371714,373387.109043,0,0.0,0.5012025012025012
2013-10-20,2665870.6200407,380838.6600058143,342694.7209944,0,0.0,0.4994388327721661
2013-10-27,2532891.582053,361841.654579,323105.11598,0,0.0,0.5025653358986693
2013-11-03,2814014.3931107,402002.05615867145,346941.91396,0,0.0,0.49807599807599806
2013-11-10,3010347.4601801997,430049.63716859993,393322.182909,0,0.0,0.4953503286836621
2013-11-17,2816870.4110483,402410.0587211857,373277.748034,0,0.0,0.4988776655443322
2013-11-24,2750989.4107634,392998.4872519143,354337.734795,0,0.0,0.4977553310886645
2013-12-01,2929519.7959622,418502.8279946,357000.404165,0,0.0,0.4943081609748276
2013-12-08,3289179.2357175,469882.74795964285,432661.755068,0,0.0,0.491662658329325
2013-12-15,3295528.9957997,470789.85654281423,434657.0129787,0,0.0,0.4974346641013308
2013-12-22,3957545.872051,565363.6960072857,527481.336925,0,0.0,0.4925444925444925
2013-12-29,3420246.5165184,570041.0860864,528335.90545135,0,0.0,0.4874672652450431
2014-01-05,4518933.2114909,645561.8873558429,680672.845603,0,0.0,0.44252044252044254
2014-01-12,4473284.3333625,639040.6190517858,602268.564009,0,0.0,0.29276895943562614
2014-01-19,4309499.942233,615642.8488904285,555547.0150185,0,0.0,0.2946127946127946
2014-01-26,4202617.1906877,600373.8843839571,553097.596874,0,0.0,0.28908128908128905
2014-02-02,3818381.1586103,545483.0226586143,540798.833711,0,0.0,0.34143017476350807
2014-02-09,3063457.8923709,437636.84176727146,403189.5869763,0,0.0,0.4899791566458233
2014-02-16,2985537.1633818997,426505.3090545571,387758.393971,0,0.0,0.49326599326599324
2014-02-23,2855480.2953675,407925.7564810714,369403.653633,0,0.0,0.4993586660253327
2014-03-02,3443974.8576347,491996.40823352855,404224.188997,0,0.0,0.42897226230559565
2014-03-09,4986448.044709,712349.7206727143,741756.416525,0,0.0,0.2881994548661216
2014-03-16,4367128.5817075,623875.5116724999,575676.797032,0,0.0,0.28475228475228476
2014-03-23,4396350.200347,628050.028621,585974.657018,0,0.0,0.28491261824595154
2014-03-30,4385083.3693938,626440.4813419714,569680.543547,0,0.0,0.2850729517396184
2014-04-06,3661812.864003,523116.12342899997,485079.887001,151,0.0016835016835016834,0.46592913259579927
2014-04-13,2961873.2660933,423124.7522990429,379646.845927,174,0.0024851691518358184,0.49975949975949974
2014-04-20,2966320.6232026,423760.08902894286,397464.842904,682,0.010421677088343755,0.5048901715568382
2014-04-27,2877354.583387,411050.65476957144,372232.595049,708,0.011143177809844477,0.5080968414301748
2014-05-04,3275912.5820545,467987.51172207145,443284.891212,1116,0.016193682860349525,0.5117845117845118
2014-05-11,2958823.6433079997,422689.0919011428,391932.183945,1032,0.014991181657848324,0.5108225108225108
2014-05-18,3000849.4921061,428692.7845865857,380822.742652,2267,0.032146865480198815,0.5130671797338464
2014-05-25,2850335.0751940003,407190.72502771433,356898.483031,3731,0.05178771845438512,0.5132275132275133
2014-06-01,3082287.5286954,440326.78981362854,373831.086112,3776,0.05315055315055315,0.5066538399871733
2014-06-08,3313556.5131968,473365.2161709714,443636.187975,3936,0.06164822831489498,0.49783549783549785
2014-06-15,2926385.898065,418055.128295,392308.374573,4498,0.0724707391374058,0.5028860028860028
2014-06-22,3032540.6439188,433220.09198840003,380396.036044,6103,0.0997274330607664,0.504088504088504
2014-06-29,2875418.2323845,410774.0331977857,370793.573429,6484,0.09756293089626424,0.5035273368606702
2014-07-06,4812087.5595749,687441.0799392714,720480.616788,14614,0.15247715247715246,0.31625781625781624
2014-07-13,4294313.600321,613473.3714744287,574451.409963,14766,0.15873015873015875,0.28892095558762226
2014-07-20,4320366.7803601,617195.2543371571,584867.15114,15478,0.1661856661856662,0.28675645342312006
2014-07-27,4205286.6248002,600755.2321143142,579767.285128,15436,0.16610549943883277,0.2801827801827802
2014-08-03,3978419.1726542,568345.5960934571,578056.965281,15089,0.14534231200897868,0.3652396985730319
2014-08-10,3054621.1751974,436374.4535996286,417197.476176,9116,0.13211479878146545,0.49567099567099565
2014-08-17,2977371.3172608,425338.7596086857,402631.8400593,9565,0.1377264710598044,0.49783549783549785
2014-08-24,2982636.585604,426090.9408005714,398126.790988,9828,0.14798781465448133,0.490700657367324
2014-08-31,3111288.7023045,444469.8146149286,403288.917062,9065,0.13981080647747315,0.4922238255571589
2014-09-07,5279048.4768097,754149.7824013857,726683.8617375,17017,0.1836620169953503,0.27048260381593714
2014-09-14,4564209.3864552,652029.9123507428,612987.4722337,17689,0.1805355138688472,0.26623376623376627
2014-09-21,4596048.041167,656578.2915952858,617472.3442115,17686,0.1738816738816739,0.2591790925124258
2014-09-28,4397333.47165,628190.49595,589120.293928,16407,0.1681096681096681,0.2709636042969376
2014-10-05,5197007.280882699,742429.6115546713,675639.295098,16155,0.18326118326118326,0.2726471059804393
2014-10-12,4653362.8788076,664766.1255439428,641480.757266,15974,0.18270001603334937,0.27400994067660733
2014-10-19,4640156.278585,662879.4683692857,611726.926015,16513,0.19616802950136283,0.27906044572711236
2014-10-26,4423455.15412,631922.1648742857,584926.355993,16476,0.196969696969697,0.2742504409171076
2014-11-02,4251287.1996238,607326.7428034,561876.0719155,16560,0.1869488536155203,0.27825877825877826
2014-11-09,5303735.6404385,757676.5200626429,718799.9390395,16649,0.1620971620971621,0.27080327080327077
2014-11-16,4497784.988293,642540.7126132856,588093.484021,16891,0.15816899150232483,0.2813852813852814
2014-11-23,4505464.854890401,643637.8364129143,580234.0113007,17802,0.18270001603334937,0.2780984447651114
2014-11-30,4641258.9799069995,663036.9971295714,579125.306002,17773,0.19199935866602533,0.28122494789161456
2014-12-07,5325543.5443824995,760791.9349117856,735319.1840285,20208,0.22422639089305754,0.27521244187910854
2014-12-14,5264767.8913525,752109.6987646428,732121.033873,20159,0.2215007215007215,0.272005772005772
2014-12-21,5850665.0824374,835809.2974910571,790182.945791,20520,0.22967772967772968,0.258617925284592
2014-12-28,5368128.4416048005,894688.0736008001,919040.664255,20095,0.24663299663299662,0.2564534231200898
2015-01-04,4581690.875962,654527.2679945715,730923.776022,18487,0.19793169793169793,0.43474426807760136
2015-01-11,3662996.663444,523285.2376348571,494160.850117,13317,0.21244187910854578,0.4320185986852653
2015-01-18,3332458.0538805,476065.4362686429,423599.9357975,12249,0.20073753407086742,0.4337822671156005
2015-01-25,3269002.8091845,467000.4013120714,416937.181925,10175,0.17147667147667148,0.43442360109026773
2015-02-01,3397417.5347315,485345.3621045,410009.617966,10572,0.17203783870450537,0.4296135962802629
2015-02-08,3533020.216905,504717.17384357145,475249.842928,10619,0.17147667147667148,0.4252845919512586
2015-02-15,3134913.8209002,447844.8315571714,434886.671834,10604,0.1705146705146705,0.41438191438191435
2015-02-22,3585462.159817,512208.87997385714,483681.015026,9872,0.15223665223665225,0.4122174122174122
2015-03-01,3494140.153732,499162.8791045714,436488.424914,9539,0.1359628026294693,0.41662658329325
2015-03-08,3730997.9838070003,532999.7119724286,492365.24083,9971,0.13989097322430658,0.4114157447490781
2015-03-15,3460576.7383238003,494368.1054748286,457881.7640763,10146,0.14381914381914382,0.4136604136604137
2015-03-22,3392165.9001174998,484595.1285882142,466598.425914,10216,0.14213564213564214,0.4080487413820747
