is_calendar_event,observed_days,mean_daily_sales,median_daily_sales,min_daily_sales,max_daily_sales,mean_promotion_rows_pct,mean_zero_sales_pct,holiday_flag,exclude_year_start,has_non_transferred_event,has_transferred_event
False,1432,627547.6597620192,624853.74779325,247245.690995,1376511.520495,0.199539623422305,0.3146263221914991,is_calendar_event,False,,
True,252,694431.3627930837,680788.37190815,2511.618999,1463083.962459,0.22744864874494503,0.3034289099103914,is_calendar_event,False,,
False,1432,627547.6597620192,624853.74779325,247245.690995,1376511.520495,0.199539623422305,0.3146263221914991,is_calendar_event,True,,
True,247,708276.5191395835,689746.212316,278627.588926,1463083.962459,0.2319847144408548,0.2896622545745353,is_calendar_event,True,,
,1441,627095.8027187148,624910.0260955,12082.500997,1376511.520495,0.2002455739443942,0.3146045231402622,has_non_transferred_event,False,False,
,243,699588.0678411539,685673.07474,2511.618999,1463083.962459,0.22429600070203637,0.3031434602079321,has_non_transferred_event,False,True,
,1440,627522.895289355,625091.01002375,247245.690995,1376511.520495,0.20037878787878788,0.3141394656440953,has_non_transferred_event,True,False,
,239,711127.9489122067,693010.486981,278627.588926,1463083.962459,0.22801468896308508,0.2917599988729696,has_non_transferred_event,True,True,
,1675,637998.8950833504,631888.250898,2511.618999,1463083.962459,0.2031311456187078,0.3129604502738831,has_transferred_event,False,,False
,9,555200.3264951889,651386.9119697,12082.500997,791762.312883,0.31257014590347926,0.3111360518767926,has_transferred_event,False,,True
,1671,639501.991962435,633176.2922806,247245.690995,1463083.962459,0.20361235870910716,0.31135579479884284,has_transferred_event,True,,False
,8,623090.0546824625,654922.17404085,322529.418957,791762.312883,0.35058922558922556,0.22699214365881032,has_transferred_event,True,,True
